gvkey,fyear,enp_share
002204,1995.0,1.0
002204,1996.0,1.0
002204,1997.0,1.0
002204,1998.0,1.0
002204,1999.0,1.0
002204,2000.0,1.0
002204,2001.0,1.0
002204,2002.0,1.0
002204,2003.0,1.0
002204,2004.0,1.0
002204,2005.0,1.0
002204,2006.0,1.0
002209,1987.0,1.0
002209,1989.0,1.0
002209,1990.0,1.0
002257,1981.0,1.0
002257,1982.0,1.0
002257,1983.0,1.0
002257,1984.0,1.0
002257,1985.0,1.0
002257,1986.0,1.0
002257,1987.0,1.0
002257,1988.0,1.0
002257,1989.0,1.0
002257,1990.0,1.0
002257,1991.0,1.0
002257,1992.0,1.0
002257,1993.0,1.0
002257,1994.0,1.0
002257,1995.0,1.0
002257,1996.0,1.0
002261,1982.0,1.0
002261,1983.0,1.0
002261,1984.0,1.0
002261,1985.0,1.0
002261,1986.0,1.0
002276,1981.0,1.0
002276,1982.0,1.0
002276,1983.0,1.0
002276,1984.0,1.0
002276,1985.0,1.0
002280,1977.0,1.0
002280,1978.0,1.0
002280,1979.0,1.0
002280,1980.0,1.0
002280,1981.0,1.0
002280,1982.0,1.0
002280,1983.0,1.0
002286,1982.0,0.8090216235377526
002286,1983.0,0.8755578007914456
002286,1984.0,0.887784389219461
002286,1985.0,1.0
002286,1986.0,1.0
002286,1987.0,1.0
002286,1988.0,1.0
002286,1989.0,1.0
002305,1984.0,1.0
002305,1985.0,1.0
002315,1980.0,1.0
002315,1981.0,1.0
002315,1982.0,1.0
002336,1987.0,1.0
002336,1988.0,1.0
002336,1989.0,1.0
002336,1990.0,1.0
002336,1991.0,0.9910132982407536
002336,1992.0,0.9995849379771242
002336,1993.0,0.9732378686341708
002349,1985.0,1.0
002353,1978.0,1.0
002353,1980.0,1.0
002353,1981.0,1.0
002353,1982.0,1.0
002353,1983.0,1.0
002416,1977.0,1.0
002416,1978.0,1.0
002416,1979.0,1.0
002416,1980.0,1.0
002416,1981.0,1.0
002416,1982.0,1.0
002416,1983.0,1.0
002416,1984.0,1.0
002416,1985.0,1.0
002416,1986.0,1.0
002416,1987.0,1.0
002416,1988.0,1.0
002416,1989.0,1.0
002416,1990.0,1.0
002416,1991.0,1.0
002416,1992.0,1.0
002416,1993.0,1.0
002416,1994.0,1.0
002419,1976.0,1.0
002419,1977.0,1.0
002419,1978.0,1.0
002419,1979.0,1.0
002419,1981.0,1.0
002419,1982.0,1.0
002419,1983.0,1.0
002419,1984.0,1.0
002419,1985.0,1.0
002419,1986.0,1.0
002419,1987.0,1.0
002419,1988.0,1.0
002419,1989.0,1.0
002422,1978.0,1.0
002422,1979.0,1.0
002422,1980.0,1.0
002422,1981.0,1.0
002422,1982.0,1.0
002422,1983.0,1.0
002422,1984.0,1.0
002422,1985.0,1.0
002422,1986.0,1.0
002422,1987.0,1.0
002422,1988.0,1.0
002422,1991.0,1.0
002437,1983.0,1.0
002437,1984.0,1.0
002437,1985.0,1.0
002437,1986.0,1.0
002437,1987.0,1.0
002437,1988.0,1.0
002437,1989.0,1.0
002437,1990.0,1.0
002437,1991.0,1.0
002437,1992.0,1.0
002437,1993.0,1.0
002437,2003.0,0.8346667757534524
002458,1977.0,1.0
002458,1978.0,1.0
002458,1979.0,1.0
002458,1980.0,1.0
002458,1981.0,1.0
002458,1982.0,1.0
002507,1980.0,1.0
002507,1981.0,1.0
002507,1982.0,1.0
002507,1983.0,1.0
002507,1984.0,1.0
002507,1985.0,1.0
002507,2000.0,1.0
002507,2001.0,1.0
002524,1977.0,1.0
002524,1978.0,1.0
002524,1979.0,1.0
002631,1976.0,1.0
002631,1977.0,1.0
002631,1978.0,1.0
002631,1979.0,1.0
002631,1980.0,1.0
002631,1987.0,1.0
002642,1980.0,1.0
002642,1981.0,1.0
002642,1982.0,1.0
002642,1983.0,1.0
002642,1984.0,1.0
002642,1985.0,1.0
002642,1986.0,1.0
002642,1987.0,1.0
002642,1988.0,1.0
002642,1989.0,1.0
002642,1990.0,1.0
002677,1978.0,1.0
002677,1979.0,1.0
002677,1980.0,1.0
002677,1981.0,1.0
002677,1982.0,1.0
002677,1983.0,1.0
002677,1984.0,1.0
002677,1985.0,1.0
002677,1986.0,1.0
002677,1987.0,1.0
002677,1988.0,1.0
002677,1989.0,1.0
002677,1990.0,1.0
002677,1991.0,1.0
002677,1992.0,1.0
002677,1993.0,1.0
002677,1994.0,1.0
002677,1995.0,1.0
002677,1996.0,1.0
002677,1997.0,1.0
002677,1998.0,1.0
002677,1999.0,1.0
002677,2000.0,1.0
002677,2001.0,1.0
002677,2002.0,1.0
002677,2003.0,1.0
002677,2004.0,1.0
002677,2005.0,1.0
002688,1977.0,1.0
002688,1978.0,1.0
002695,1976.0,1.0
002695,1977.0,1.0
002695,1978.0,1.0
002697,1999.0,0.8187462016568395
002697,2000.0,0.8511588966691358
002697,2001.0,0.836782641357369
002697,2007.0,0.851593082317394
002697,2008.0,0.8399068049545766
002697,2010.0,0.95350006966929
002697,2011.0,0.9789115816165215
002697,2012.0,0.9584264191079673
002702,1977.0,1.0
