stype,tic,gvkey,sic,snms,sales,fyear
BUSSEG,HES,001380,1311,Eliminations,0.0,2009.0
BUSSEG,HES,001380,1311,Exploration & Production,8976.0,2010.0
BUSSEG,HES,001380,1311,Marketing & Refining,24885.0,2010.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2010.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2010.0
BUSSEG,HES,001380,1311,Exploration & Production,10646.0,2011.0
BUSSEG,HES,001380,1311,Corporate,0.0,2011.0
BUSSEG,HES,001380,1311,Retail Marketing & Other,10805.0,2011.0
BUSSEG,HES,001380,1311,Marketing & Refining,27935.0,2011.0
BUSSEG,HES,001380,1311,Corporate & Interest,1.0,2011.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2011.0
BUSSEG,HES,001380,1311,Exploration & Production,12245.0,2012.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2012.0
BUSSEG,HES,001380,1311,Corporate,0.0,2012.0
BUSSEG,HES,001380,1311,Retail Marketing & Other,11136.0,2012.0
BUSSEG,HES,001380,1311,Marketing & Refining,25519.0,2012.0
BUSSEG,HES,001380,1311,Corporate & Interest,2.0,2012.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2012.0
BUSSEG,HES,001380,1311,Exploration & Production,11762.0,2013.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2013.0
BUSSEG,HES,001380,1311,Bakken Midstream,143.0,2013.0
BUSSEG,HES,001380,1311,Corporate,0.0,2013.0
BUSSEG,HES,001380,1311,Retail Marketing & Other,10379.0,2013.0
BUSSEG,HES,001380,1311,Eliminations,0.0,2013.0
BUSSEG,HES,001380,1311,Exploration & Production,10737.0,2014.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2014.0
BUSSEG,HES,001380,1311,Bakken Midstream,0.0,2014.0
BUSSEG,HES,001380,1311,Exploration & Production,6627.0,2015.0
BUSSEG,HES,001380,1311,"Corporate, Interest & Other",0.0,2015.0
BUSSEG,HES,001380,1311,Midstream,9.0,2015.0
