gvkey,fyear,total_sales,domestic_sales,domestic_sales_share
001788,1983.0,33.262,0.0,0.0
001788,1984.0,10.653,0.0,0.0
001788,1985.0,18.944,0.0,0.0
001788,1986.0,8.325,0.0,0.0
001788,1987.0,9.372,0.0,0.0
001797,1981.0,0.123,0.123,1.0
001797,1982.0,0.098,0.098,1.0
001797,1983.0,0.627,0.627,1.0
001797,1984.0,0.765,0.765,1.0
001797,1985.0,0.575,0.575,1.0
001797,1986.0,0.962,0.962,1.0
001797,1987.0,0.389,0.389,1.0
001797,1988.0,0.352,0.352,1.0
001797,1989.0,0.681,0.681,1.0
001797,1990.0,0.731,0.731,1.0
001797,1991.0,0.671,0.671,1.0
001797,1992.0,0.949,0.949,1.0
001797,1993.0,0.798,0.798,1.0
001797,1994.0,0.917,0.917,1.0
001797,1995.0,1.204,1.204,1.0
001797,1996.0,0.399,0.399,1.0
001797,1997.0,0.366,0.366,1.0
001797,1998.0,0.864,0.864,1.0
001797,1999.0,1.291,1.291,1.0
001797,2000.0,1.425,1.425,1.0
001797,2001.0,3.867,3.867,1.0
001797,2002.0,0.828,0.828,1.0
001797,2003.0,1.314,1.314,1.0
001797,2004.0,1.821,1.821,1.0
001797,2005.0,4.119,4.119,1.0
001797,2006.0,5.912,5.912,1.0
001797,2007.0,4.418,4.418,1.0
001797,2008.0,5.39,5.39,1.0
001797,2009.0,0.0,0.0,
001903,1977.0,17.133,0.0,0.0
001903,1978.0,16.477,0.0,0.0
001903,1979.0,13.276,0.0,0.0
001903,1980.0,16.952,0.0,0.0
001903,1981.0,10.839,0.0,0.0
001903,1982.0,13.585,0.0,0.0
001903,1983.0,7.37,0.0,0.0
001903,1984.0,6.917,0.0,0.0
001903,1985.0,17.378,0.0,0.0
001903,1986.0,16.463,0.0,0.0
001903,1987.0,23.497,0.0,0.0
001903,1988.0,22.534,0.0,0.0
001903,1989.0,17.588,0.0,0.0
001903,1990.0,5.833,0.0,0.0
001903,1991.0,1.58,0.0,0.0
001929,1981.0,0.151,0.151,1.0
001929,1982.0,0.358,0.358,1.0
001929,1983.0,0.757,0.757,1.0
001929,1984.0,0.758,0.758,1.0
001929,1985.0,0.707,0.707,1.0
